order_id,customer_name,product,amount,order_date
ORD-0001,sarah johnson,Webcam,132.63,2024-11-17
ORD-0002,emily davis,Mouse,1227.21,2024-05-13
ORD-0003,john smith,Headphones,476.62,2024-03-22
ORD-0004,michael wilson,Keyboard,989.11,2024-10-11
ORD-0005,john smith,Keyboard,1916.09,2024-04-20
ORD-0006,david lee,Keyboard,918.96,2024-10-25
ORD-0007,jane doe,Phone,1340.7,2024-12-07
ORD-0008,jane doe,Tablet,1451.46,2024-11-14
ORD-0009,john smith,Phone,1839.14,2024-01-31
ORD-0010,mary thomas,Mouse,175.59,2024-10-23
ORD-0011,james taylor,Monitor,1158.7,2024-06-20
ORD-0012,david lee,Mouse,467.55,2024-03-28
ORD-0013,james taylor,Laptop,75.44,2024-08-09
ORD-0014,john smith,Phone,797.54,2024-03-03
ORD-0015,emily davis,Headphones,651.37,2024-07-05
ORD-0016,michael wilson,Phone,227.36,2024-11-27
ORD-0017,robert brown,Phone,319.11,2024-10-09
ORD-0018,emily davis,Webcam,1469.56,2024-05-20
ORD-0019,jane doe,Tablet,422.02,2024-09-22
ORD-0020,sarah johnson,Phone,1548.57,2024-08-12
ORD-0021,david lee,Headphones,1341.57,2024-05-09
ORD-0022,jane doe,Headphones,940.72,2024-01-25
ORD-0023,david lee,Laptop,195.93,2024-10-17
ORD-0024,robert brown,Tablet,1772.98,2024-08-27
ORD-0025,john smith,Laptop,1083.13,2024-01-10
ORD-0026,jane doe,Webcam,606.77,2024-04-13
ORD-0027,james taylor,Phone,1011.52,2024-05-28
ORD-0028,robert brown,Keyboard,751.43,2024-03-31
ORD-0029,robert brown,Keyboard,1491.5,2024-12-16
ORD-0030,james taylor,Webcam,556.13,2024-01-31
ORD-0031,jane doe,Keyboard,1569.68,2024-04-05
ORD-0032,mary thomas,Monitor,374.5,2024-10-08
ORD-0033,mary thomas,Phone,1978.54,2024-11-07
ORD-0034,michael wilson,Headphones,1706.28,2024-01-14
ORD-0035,michael wilson,Phone,59.15,2024-05-08
ORD-0036,robert brown,Keyboard,1469.79,2024-09-13
ORD-0037,emily davis,Webcam,752.34,2024-06-29
ORD-0038,michael wilson,Headphones,1616.89,2024-07-23
ORD-0039,david lee,Monitor,1166.4,2024-04-15
ORD-0040,michael wilson,Phone,1435.39,2024-12-08
ORD-0041,john smith,Laptop,473.95,2024-07-20
ORD-0042,david lee,Headphones,332.03,2024-12-26
ORD-0043,john smith,Laptop,1578.2,2024-10-18
ORD-0044,lisa anderson,Keyboard,900.6,2024-02-11
ORD-0045,michael wilson,Headphones,688.93,2024-03-17
ORD-0046,jane doe,Headphones,644.19,2024-11-30
ORD-0047,james taylor,Headphones,693.84,2024-05-31
ORD-0048,mary thomas,Mouse,636.86,2024-07-04
ORD-0049,michael wilson,Phone,993.05,2024-12-18
ORD-0050,john smith,Phone,864.64,2024-04-19
ORD-0051,michael wilson,Tablet,300.56,2024-01-03
ORD-0052,mary thomas,Webcam,541.24,2024-04-08
ORD-0053,jane doe,Headphones,1798.21,2024-06-22
ORD-0054,michael wilson,Keyboard,750.36,2024-03-01
ORD-0055,lisa anderson,Mouse,1944.17,2024-03-04
ORD-0056,robert brown,Tablet,507.44,2024-03-10
ORD-0057,john smith,Mouse,957.58,2024-08-07
ORD-0058,david lee,Keyboard,1636.48,2024-08-07
ORD-0059,john smith,Headphones,1477.72,2024-06-04
ORD-0060,lisa anderson,Keyboard,1264.74,2024-01-17
ORD-0061,michael wilson,Phone,1580.93,2024-09-14
ORD-0062,jane doe,Mouse,408.76,2024-10-27
ORD-0063,mary thomas,Webcam,1858.69,2024-06-15
ORD-0064,michael wilson,Keyboard,1247.69,2024-12-05
